Batch Size,Mean Latency per Image (ms),Std Latency per Image (ms),Mean Latency per Batch (ms),Std Latency per Batch (ms),Mean Throughput (imgs/sec),Std Throughput (imgs/sec)
1,5.047183989524841,0.05482932231839385,5.047183989524841,0.05482932231839385,200.0353025038628,1.896373169794611
2,2.5822788543701174,0.024600920661137483,5.164557708740235,0.04920184132227497,391.82333927690377,3.862559442560744
4,1.3012662401199342,0.03842933656470931,5.205064960479737,0.15371734625883723,776.9104873872083,24.276937375427885
8,0.6264251370429993,0.0074480857584601524,5.011401096343994,0.05958468606768122,1612.3134213906421,16.097852820346358
16,0.3141681246757507,0.0013279273790147332,5.026689994812012,0.021246838064235732,3211.7911364789834,14.395212897518789
32,0.16285630840063098,0.0022558075631476386,5.211401868820191,0.07218584202072444,6188.689802366481,82.29277726223295
64,0.1317021319642663,0.00019721866812285978,8.394891864061355,0.01263068869883346,7596.151053927992,10.550845933416278
128,0.11775916865854352,3.658224352259078e-05,15.01500961780548,0.0046924081748209385,8492.132848184992,2.615481327442676
256,0.1105385027661667,4.4664572229110163e-05,28.186221752166745,0.011457226239113535,9046.748556723784,3.6495191513803036
512,0.10700541466959124,5.9537324310443907e-05,54.57093124389648,0.030166064164059026,9345.429041043564,5.190883125951987
1024,0.10589240017165227,5.992754273581506e-05,108.01234008789064,0.06140360407158037,9443.621380386274,5.330330981779503
2048,0.10562169683050826,0.00027542434499890897,179.44630432128906,0.4640814073191856,9468.012757314642,24.499913941012913
4096,0.10506381628760304,0.00010487606089718519,267.3802185058594,0.27549061157469146,9518.13961004015,9.497146878090737
8192,0.10404718137254902,8.743162530846417e-05,530.640625,0.44590128907316556,9611.031199670886,8.079565440723256
16384,0.10399617991727941,0.00014484344552041252,530.380517578125,0.7387015721541019,9615.756469366712,13.392605955382718
32768,0.10407417805989586,0.00011552017044448806,530.7783081054688,0.5891528692669004,9608.543160387582,10.662819110188302
65536,0.1041458070044424,6.675739039605637e-05,531.1436157226562,0.3404626910198791,9601.926759109316,6.158494928366464
131072,0.10413804955575981,0.0001340365387653671,531.104052734375,0.6835863477033651,9602.653992433883,12.364781004569693
262144,0.1040980104932598,9.175567818417988e-05,530.899853515625,0.46795395873930823,9606.338995805676,8.474542345923775
524288,0.10410030350030637,6.567636921186597e-05,530.9115478515625,0.33494948298050936,9606.123751460658,6.05984511751355
