Batch Size,Mean Latency per Image (ms),Std Latency per Image (ms),Mean Latency per Batch (ms),Std Latency per Batch (ms),Mean Throughput (imgs/sec),Std Throughput (imgs/sec)
1,1.974315004825592,0.0062060575463573275,1.974315004825592,0.0062060575463573275,512.9009735644016,1.6008136800609538
2,0.9962926073074341,0.012915134614380847,1.9925852146148681,0.025830269228761693,1016.5505927659964,13.269395441430836
4,0.5120266230106354,0.00847699392916287,2.0481064920425416,0.03390797571665148,1979.5544982749125,32.62043077188257
8,0.2584903358519077,0.007938398867818953,2.067922686815262,0.06350719094255163,3919.5090454764845,121.70627583888951
16,0.12878487995266913,0.0009765427914985257,2.060558079242706,0.015624684663976412,7878.921199767091,69.16331397673396
32,0.06820939201116563,0.0023934817874559215,2.1827005443573,0.07659141719858949,14881.117604040486,524.8006561298323
64,0.03377327518156644,0.0007542265625692644,2.149371284544468,0.04832551314039791,30150.000306442398,659.536294127635
128,0.019566827085972936,0.0003674912078441564,2.493414726257324,0.04659462913891472,51980.78810803483,446.4163187462006
256,0.016409514498091856,0.0001525350797378786,4.184212443828583,0.03904962170594768,61107.75969528352,302.6947952090825
512,0.015340442695632214,3.238341124795336e-05,7.823495655059814,0.016584867014400796,65212.361637898895,129.60893623100247
1024,0.014393007149734346,1.1256257830887136e-05,14.680577278137207,0.011315230283216193,69489.95561199194,53.50411683906882
2048,0.013938593631672113,2.7226716987512527e-05,23.570408693949382,0.05504065056817583,71771.20843060482,143.59218266639564
4096,0.013954596374688516,2.0898840265743285e-05,34.87381763458252,0.04715919775871215,71739.04320459391,104.9501082954141
8192,0.013506081973805147,1.2973177678775489e-05,68.88101806640626,0.06616320616175488,74040.78583459754,71.1381084692538
16384,0.013513548607919729,1.9759330157867698e-05,68.91909790039062,0.10077258380512322,73999.96601387378,108.18754983789626
32768,0.01353307237812117,1.3854229322067828e-05,69.01866912841797,0.0706565695425461,73893.12780122914,75.55671027802845
65536,0.013536514581418505,1.7075844507368172e-05,69.03622436523438,0.08708680698757741,73874.3775576178,93.05557668832277
131072,0.013525574328852635,6.050033159858755e-06,68.98042907714844,0.030855169115278996,73934.02866196031,33.074012235748796
262144,0.013520863551719515,2.6186849977921705e-05,68.95640411376954,0.13355293488740239,73960.05010520625,143.0394962842455
524288,0.013528534533930759,4.010729051828123e-05,68.99552612304687,0.2045471816432344,73918.48367961028,218.3935970969969
