Batch Size,Mean Latency per Image (ms),Std Latency per Image (ms),Mean Latency per Batch (ms),Std Latency per Batch (ms),Mean Throughput (imgs/sec),Std Throughput (imgs/sec)
1,0.31257190251350403,0.0068273098123076805,0.31257190251350403,0.0068273098123076805,3308.578711528439,49.96111043973017
2,0.17508966317772867,0.0009317466485142615,0.35017932635545734,0.001863493297028523,5857.544929134491,31.60487524455715
4,0.08759449560940266,0.0018114285922294965,0.35037798243761065,0.007245714368917986,11768.425006258742,120.13881505895391
8,0.044079303979873655,0.0004740364090419991,0.35263443183898924,0.003792291272335993,23333.003581207224,180.74435936602256
16,0.02261635199561715,0.00017529828789748192,0.3618616319298744,0.002804772606359711,45368.90868538241,353.3240618113717
32,0.010047568002715706,8.085340562155359e-05,0.3215221760869026,0.002587308979889715,102562.46493837933,757.4290688574353
64,0.005197764656464146,9.222356222699799e-05,0.3306155198067427,0.005988687554457258,199661.9869040394,3509.613857120148
128,0.0030879536954927502,0.00040509374336197254,0.3932399989664555,0.051268588623220236,350342.2699321962,41972.385512201254
256,0.0020015623940596895,0.00011256028744674286,0.5099663999676703,0.027921616335997015,542836.3291979095,12848.500024323805
512,0.001572147922900816,3.974409368869873e-05,0.8019052779674529,0.020396660301650726,657936.4388624823,5752.594737385194
1024,0.0014675946160779888,0.0001618298163541595,1.497358069419861,0.16560588211384478,710101.9385861887,36848.426019441824
2048,0.0013116698317566162,6.394239555866447e-05,2.2323392073313397,0.1026964446991452,768899.4228566843,31139.285817345994
4096,0.0012604016735982815,2.8682746056552017e-05,3.220937633514404,0.08858742468780406,793975.4541111575,17719.4540269641
8192,0.0012126318426693187,9.301224787716801e-06,6.184422397613526,0.047436246417355686,824700.7998060544,6284.252072074518
16384,0.001209616324480842,7.214775714537236e-06,6.169043254852295,0.03679535614413983,826737.6177791972,4895.338243056384
32768,0.0012154515958299823,1.0773599734833142e-05,6.19880313873291,0.054945358647649024,822803.3098937131,7202.4617972016695
65536,0.0012125452640009862,1.553531160173275e-05,6.18398084640503,0.079230089168837,824844.4044046443,10374.886142551002
131072,0.001207110274071787,3.3485514203245356e-06,6.156262397766113,0.017077612243655085,828431.1025362195,2298.085832667646
262144,0.0012180480022056432,1.1198292361298054e-05,6.212044811248779,0.057111291042620235,821054.6745347976,7501.859194445902
524288,0.001209617577347101,7.362513336013556e-06,6.169049644470215,0.03754881801366941,826738.0133298495,5002.806616226705
